DJ HEADLINERS:,LIVE HEADLINERS:,SUPPORT:
Adam Beyer,deadmau5 (cube 3.0 Worldwide Debut),3LAU
Adam Beyer ☐ Cirez D,Galantis,AC Slater
Afrojack,Gigantic NGHTMRE,Alan Fitzpatrick
Alesso,GRiZ,Alex Zinn
Armin van Buuren,ILLENIUM,Andrea Oliva
Black Coffee,Louis The Child,Anja Schneider
Carl Cox,ODESZA,ANNA
The Chainsmokers,Tom Morello,Art Department
David Guetta,,Brennen Grey
Dog Blood (Skrillex + Boys Noize),,Callie Reiff
Dubfire B3B Nicole Moudaber B3B Paco Osuna,,Camelphat B2B Solardo
Eric Prydz,,Cash Cash
Jamie Jones B2B Joseph Capriati,,Cazztek
LOCO DICE,,Charlotte de Witte
Maceo Plex,,Cheat Codes
marshmello,,Chet Porter
Martin Garrix,,Chip E
The Martinez Brothers,,Christian Smith
NGHTMRE + SLANDER present: Gud Vibrations,,Cosmic Gate
REZZ,,Coyu
Richie Hawtin,,Cristoph
Sasha | John Digweed,,Dennis Cruz
Sven Väth,,DubVision B2B Raiden
Tale Of Us,,Elephante
Testpilot,,Elio Riso
Tiësto,,Enrico Sangiuliano
Zedd,,Eric Powell
ZEDS DEAD,,Erick Morillo
,,Fabio Neural
,,Fatum
,,Fedde Le Grand
,,ford.
,,Frank Walker LIVE
,,G Jones
,,Getter
,,GG Magree
,,Ghastly
,,Golden Features
,,Hector
,,Hot Since 82
,,Ilario Alicante
,,Infected Mushroom
,,J. Worra
,,Jai Wolf
,,James Zabiela
,,Jay Robinson
,,Jeffrey Sutorius (Formerly Dash Berlin)
,,Jon Rundell
,,Jonas Blue
,,Joris Voorn
,,Josh Wink
,,Julian Jordan B2B Brooks
,,Junior Sanchez
,,Justin Mylo
,,K?D
,,Kasbo
,,Kayzo
,,La Fleur
,,Lost Frequencies
,,Lost Kings
,,Luigi Madonna
,,M.A.N.D.Y.
,,Malaa
,,Marcel Dettmann
,,Marco Bailey
,,Markus Schulz
,,Matador
,,Matisse & Sadko
,,Matoma
,,Memba
,,Nero
,,Nic Fanciulli
,,Nicky Romero
,,Noir
,,Nora En Pure
,,Oliver Heldens
,,Party Favor
,,Peekaboo
,,Phantoms
,,Pleasurekraft
,,Pluko
,,Popof
,,Richy Ahmed
,,Rinzen
,,Ruben de Ronde
,,Running Touch
,,Salvatore Ganacci
,,Sam Feldt LIVE
,,SOPHIE
,,Space Jesus
,,Spencer Brown
,,Spor
,,Stefano Noferini
,,Sunnery James & Ryan Marciano
,,SVDDEN DEATH
,,Tchami
,,Technasia B2B Carlo Lio
,,Thugfucker
,,Tinlicker
,,TV Noise
,,Van Duo
,,Vini Vici
,,Vini Vici B2B Infected Mushroom
,,Whethan
,,Whipped Cream
,,Young Bombs
,,Yousef
